,G0001,G0011,G0031,G0032,G0070,G0073,G0075,G0121,G0130,G0146,G0542,G0570,G0609,G0633,G0634,G0678,G0763
G0001,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G0031,3,0,0,1,0,0,0,0,0,3,0,0,0,0,3,0,0
G0032,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G0070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G0073,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
G0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G0121,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
G0130,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0
G0146,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
G0542,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
G0570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G0609,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
G0633,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
G0634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
G0678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G0763,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
