frm_category,to_category,item_count
G0001,G0001,54
G0001,G0011,7
G0001,G0031,52
G0001,G0032,36
G0001,G0034,1
G0001,G0048,1
G0001,G0070,1
G0001,G0074,1
G0001,G0121,53
G0001,G0130,50
G0001,G0146,40
G0001,G0542,1
G0001,G0634,1
G0001,G0679,1
G0001,G0705,1
G0001,G0723,1
G0001,G0724,1
G0001,G0961,1
G0002,G0002,9
G0002,G0012,6
G0002,G0027,3
G0002,G0038,3
G0002,G0043,9
G0002,G0110,1
G0002,G0115,2
G0002,G0116,2
G0002,G0117,2
G0002,G0126,1
G0002,G0127,3
G0002,G0132,4
G0002,G0176,1
G0002,G0186,6
G0002,G0222,9
G0002,G0413,1
G0002,G0414,1
G0002,G0415,1
G0002,G0416,1
G0002,G0417,1
G0002,G0418,1
G0002,G0427,1
G0002,G0504,1
G0002,G0505,1
G0002,G0506,1
G0002,G0531,5
G0002,G0544,1
G0002,G0545,1
G0002,G0546,2
G0002,G0566,2
G0002,G0568,3
G0002,G0570,8
G0002,G0600,1
G0002,G0637,3
G0002,G0639,6
G0002,G0641,3
G0002,G0694,1
G0002,G0695,1
G0002,G0706,4
G0002,G0707,2
G0002,G0708,3
G0002,G0709,2
G0002,G0806,4
G0002,G0847,2
G0002,G0848,1
G0002,G0850,1
G0003,G0003,19
G0003,G0033,19
G0003,G0040,19
G0003,G0042,19
G0003,G0099,7
G0003,G0100,6
G0003,G0101,6
G0003,G0123,19
G0003,G0132,19
G0003,G0202,5
G0003,G0223,5
G0003,G0224,4
G0003,G0225,4
G0003,G0286,2
G0003,G0287,2
G0003,G0308,2
G0003,G0309,2
G0003,G0310,2
G0003,G0342,5
G0003,G0343,4
G0003,G0344,4
G0003,G0350,1
G0003,G0351,1
G0003,G0352,1
G0003,G0531,13
G0003,G0544,13
G0003,G0570,18
G0003,G0646,19
G0003,G0806,13
G0003,G0815,3
G0003,G0816,3
G0003,G0817,3
G0003,G0897,3
G0003,G0898,3
G0003,G0899,3
G0003,G1177,2
G0003,G1200,2
G0003,G1201,2
G0003,G1202,2
G0003,G1264,1
G0004,G0004,21
G0004,G0033,19
G0004,G0039,21
G0004,G0042,21
G0004,G0091,7
G0004,G0102,7
G0004,G0108,7
G0004,G0122,7
G0004,G0123,7
G0004,G0124,2
G0004,G0126,7
G0004,G0132,21
G0004,G0209,5
G0004,G0211,5
G0004,G0214,5
G0004,G0293,2
G0004,G0295,2
G0004,G0302,2
G0004,G0341,4
G0004,G0355,1
G0004,G0396,5
G0004,G0401,1
G0004,G0531,11
G0004,G0544,11
G0004,G0570,18
G0004,G0643,5
G0004,G0646,18
G0004,G0806,15
G0004,G0810,3
G0004,G0818,3
G0004,G0833,3
G0004,G0892,3
G0004,G0900,3
G0004,G0915,3
G0004,G1184,2
G0004,G1186,2
G0004,G1194,2
G0005,G0005,39
G0005,G0013,5
G0005,G0014,2
G0005,G0033,15
G0005,G0035,11
G0005,G0042,37
G0005,G0124,17
G0005,G0132,20
G0005,G0134,1
G0005,G0135,1
G0005,G0140,2
G0005,G0141,2
G0005,G0188,3
G0005,G0189,2
G0005,G0194,1
G0005,G0195,1
G0005,G0196,1
G0005,G0197,1
G0005,G0206,1
G0005,G0208,1
G0005,G0212,7
G0005,G0213,4
G0005,G0260,4
G0005,G0261,3
G0005,G0262,1
G0005,G0263,1
G0005,G0264,3
G0005,G0265,1
G0005,G0361,1
G0005,G0364,1
G0005,G0384,1
G0005,G0385,1
G0005,G0388,1
G0005,G0389,1
G0005,G0393,2
G0005,G0394,2
G0005,G0442,1
G0005,G0448,1
G0005,G0454,1
G0005,G0456,1
G0005,G0518,1
G0005,G0519,1
G0005,G0520,2
G0005,G0531,9
G0005,G0543,6
G0005,G0544,26
G0005,G0570,39
G0005,G0605,1
G0005,G0606,1
G0005,G0644,22
G0005,G0653,1
G0005,G0806,24
G0005,G0835,1
G0005,G0836,2
G0005,G0837,2
G0005,G1102,1
G0005,G1103,1
G0005,G1140,1
G0005,G1143,1
G0005,G1147,1
G0005,G1154,1
G0005,G1155,1
G0005,G1156,2
G0005,G1157,2
G0005,G1187,5
G0005,G1188,1
G0005,G1191,2
