category,item_code
G0001,55.01
G0031,55.01
G0032,55.01
G0070,55.01
G0121,55.01
G0130,55.01
G0146,55.01
G0542,55.01
G0031,55.016
G0032,55.016
G0070,55.016
G0075,55.016
G0121,55.016
G0130,55.016
G0146,55.016
G0542,55.016
G0031,55.035
G0032,55.035
G0130,55.035
G0146,55.035
G0634,55.035
G0570,55.306
G0031,55.9
G0032,55.9
G0075,55.9
G0121,55.9
G0130,55.9
G0146,55.9
G0542,55.9
G0633,55.9
G0634,55.9
G0001,60.003
G0031,60.003
G0032,60.003
G0121,60.003
G0130,60.003
G0146,60.003
G0001,65.002
G0031,65.002
G0032,65.002
G0121,65.002
G0130,65.002
G0146,65.002
G0001,65.003
G0031,65.003
G0032,65.003
G0121,65.003
G0130,65.003
G0146,65.003
G0073,190.005
G0121,190.005
G0130,190.005
G0609,190.005
G0633,190.005
G0763,190.005
G0001,190.007
G0031,190.007
G0032,190.007
G0121,190.007
G0130,190.007
G0146,190.007
G0001,190.009
G0031,190.009
G0032,190.009
G0121,190.009
G0130,190.009
G0146,190.009
G0001,190.015
G0011,190.015
G0031,190.015
G0032,190.015
G0121,190.015
G0130,190.015
G0146,190.015
G0001,190.016
G0011,190.016
G0031,190.016
G0032,190.016
G0121,190.016
G0130,190.016
G0146,190.016
G0001,190.022
G0031,190.022
G0032,190.022
G0121,190.022
G0130,190.022
G0031,190.025
G0032,190.025
G0130,190.025
G0146,190.025
G0634,190.025
G0031,190.026
G0032,190.026
G0130,190.026
G0634,190.026
G0678,190.026
G0031,190.03
G0032,190.03
G0130,190.03
G0634,190.03
G0001,190.035
G0031,190.035
G0121,190.035
G0130,190.035
G0001,190.036
G0031,190.036
G0130,190.036
G0724,190.036
G0001,190.037
G0121,190.037
G0001,190.062
G0031,190.062
G0032,190.062
G0121,190.062
G0130,190.062
G0146,190.062
G0001,192.004
G0031,192.004
G0032,192.004
G0121,192.004
G0130,192.004
G0146,192.004
G0001,192.008
G0031,192.008
G0032,192.008
G0121,192.008
G0130,192.008
G0146,192.008
G0634,192.008
G0679,192.008
G0001,192.009
G0031,192.009
G0032,192.009
G0121,192.009
G0130,192.009
G0146,192.009
G0031,192.01
G0032,192.01
G0130,192.01
G0146,192.01
G0001,192.011
G0031,192.011
G0032,192.011
G0121,192.011
G0130,192.011
G0146,192.011
G0001,193.003
G0031,193.003
G0032,193.003
G0074,193.003
G0121,193.003
G0130,193.003
G0146,193.003
G0001,193.004
G0031,193.004
G0032,193.004
G0121,193.004
G0130,193.004
G0146,193.004
G0001,193.005
G0031,193.005
G0032,193.005
G0121,193.005
G0130,193.005
G0146,193.005
G0001,193.006
G0031,193.006
G0032,193.006
G0121,193.006
G0130,193.006
G0146,193.006
G0031,200.043
G0130,200.043
G0634,200.043
G0031,200.044
G0130,200.044
G0634,200.044
G0031,200.046
G0130,200.046
G0634,200.046
G0031,200.047
G0130,200.047
G0634,200.047
G0031,200.048
G0130,200.048
G0634,200.048
G0031,200.049
G0130,200.049
G0634,200.049
G0031,200.061
G0130,200.061
G0634,200.061
G0031,200.062
G0130,200.062
G0634,200.062
G0031,200.063
G0130,200.063
G0634,200.063
G0031,200.064
G0130,200.064
G0634,200.064
G0031,200.065
G0032,200.065
G0052,200.065
